name,author,user_rating,reviews,price,year,genre
gone girl,gillian flynn,4.0,57271,9,2014,fiction
good days start with gratitude: a 52 week guide to cultivate an attitude of gratitude: gratitude journal,pretty simple press,4.6,10141,6,2019,non fiction
good to great: why some companies make the leap and others don't,jim collins,4.5,3457,14,2009,non fiction
good to great: why some companies make the leap and others don't,jim collins,4.5,3457,14,2010,non fiction
good to great: why some companies make the leap and others don't,jim collins,4.5,3457,14,2011,non fiction
good to great: why some companies make the leap and others don't,jim collins,4.5,3457,14,2012,non fiction
goodnight moon,margaret wise brown,4.8,8837,5,2017,fiction
goodnight moon,margaret wise brown,4.8,8837,5,2018,fiction
goodnight moon,margaret wise brown,4.8,8837,5,2019,fiction
"goodnight, goodnight construction site (hardcover books for toddlers, preschool books for kids)",sherri duskey rinker,4.9,7038,7,2012,fiction
"goodnight, goodnight construction site (hardcover books for toddlers, preschool books for kids)",sherri duskey rinker,4.9,7038,7,2013,fiction
"grain brain: the surprising truth about wheat, carbs, and sugar--your brain's silent killers",david perlmutter md,4.6,5972,10,2014,non fiction
grey: fifty shades of grey as told by christian (fifty shades of grey series),e l james,4.4,25624,14,2015,fiction
guts,raina telgemeier,4.8,5476,7,2019,non fiction
hamilton: the revolution,lin-manuel miranda,4.9,5867,54,2016,non fiction
"happy, happy, happy: my life and legacy as the duck commander",phil robertson,4.8,4148,11,2013,non fiction
"harry potter and the chamber of secrets: the illustrated edition (harry potter, book 2)",j.k. rowling,4.9,19622,30,2016,fiction
"harry potter and the cursed child, parts 1 & 2, special rehearsal edition script",j.k. rowling,4.0,23973,12,2016,fiction
"harry potter and the goblet of fire: the illustrated edition (harry potter, book 4) (4)",j. k. rowling,4.9,7758,18,2019,fiction
"harry potter and the prisoner of azkaban: the illustrated edition (harry potter, book 3)",j.k. rowling,4.9,3146,30,2017,fiction
"harry potter and the sorcerer's stone: the illustrated edition (harry potter, book 1)",j.k. rowling,4.9,10052,22,2016,fiction
harry potter coloring book,scholastic,4.7,3564,9,2015,non fiction
harry potter paperback box set (books 1-7),j. k. rowling,4.8,13471,52,2016,fiction
have a little faith: a true story,mitch albom,4.8,1930,4,2009,non fiction
heaven is for real: a little boy's astounding story of his trip to heaven and back,todd burpo,4.7,15779,10,2011,non fiction
heaven is for real: a little boy's astounding story of his trip to heaven and back,todd burpo,4.7,15779,10,2012,non fiction
hillbilly elegy: a memoir of a family and culture in crisis,j. d. vance,4.4,15526,14,2016,non fiction
hillbilly elegy: a memoir of a family and culture in crisis,j. d. vance,4.4,15526,14,2017,non fiction
homebody: a guide to creating spaces you never want to leave,joanna gaines,4.8,3776,22,2018,non fiction
how to win friends & influence people,dale carnegie,4.7,25001,11,2014,non fiction
how to win friends & influence people,dale carnegie,4.7,25001,11,2015,non fiction
how to win friends & influence people,dale carnegie,4.7,25001,11,2016,non fiction
how to win friends & influence people,dale carnegie,4.7,25001,11,2017,non fiction
how to win friends & influence people,dale carnegie,4.7,25001,11,2018,non fiction
howard stern comes again,howard stern,4.3,5272,16,2019,non fiction
humans of new york,brandon stanton,4.8,3490,15,2013,non fiction
humans of new york,brandon stanton,4.8,3490,15,2014,non fiction
humans of new york : stories,brandon stanton,4.9,2812,17,2015,non fiction
"hyperbole and a half: unfortunate situations, flawed coping mechanisms, mayhem, and other things that happened",allie brosh,4.7,4896,17,2013,non fiction
"i am confident, brave & beautiful: a coloring book for girls",hopscotch girls,4.8,9737,7,2019,non fiction
"i, alex cross",james patterson,4.6,1320,7,2009,fiction
if animals kissed good night,ann whitford paul,4.8,16643,4,2017,fiction
if animals kissed good night,ann whitford paul,4.8,16643,4,2019,fiction
if i stay,gayle forman,4.3,7153,9,2014,fiction
"in the garden of beasts: love, terror, and an american family in hitler's berlin",eric larson,4.4,4571,21,2011,non fiction
inferno,dan brown,4.1,29651,14,2013,fiction
inheritance: book iv (inheritance cycle),christopher paolini,4.6,5299,20,2011,fiction
instant pot pressure cooker cookbook: 500 everyday recipes for beginners and advanced users. try easy and healthy…,jennifer smith,4.4,7396,13,2019,non fiction
instant pot pressure cooker cookbook: 500 everyday recipes for beginners and advanced users. try easy and healthy…,jennifer smith,4.4,7396,13,2018,non fiction
it's not supposed to be this way: finding unexpected strength when disappointments leave you shattered,lysa terkeurst,4.8,7062,12,2019,non fiction
jesus calling: enjoying peace in his presence (with scripture references),sarah young,4.9,19576,8,2011,non fiction
jesus calling: enjoying peace in his presence (with scripture references),sarah young,4.9,19576,8,2012,non fiction
jesus calling: enjoying peace in his presence (with scripture references),sarah young,4.9,19576,8,2013,non fiction
jesus calling: enjoying peace in his presence (with scripture references),sarah young,4.9,19576,8,2014,non fiction
jesus calling: enjoying peace in his presence (with scripture references),sarah young,4.9,19576,8,2015,non fiction
jesus calling: enjoying peace in his presence (with scripture references),sarah young,4.9,19576,8,2016,non fiction
journey to the ice p,rh disney,4.6,978,0,2014,fiction
joyland (hard case crime),stephen king,4.5,4748,12,2013,fiction
killers of the flower moon: the osage murders and the birth of the fbi,david grann,4.6,8393,17,2017,non fiction
killing jesus (bill o'reilly's killing series),bill o'reilly,4.5,11391,12,2013,non fiction
killing kennedy: the end of camelot,bill o'reilly,4.6,8634,25,2012,non fiction
killing lincoln: the shocking assassination that changed america forever (bill o'reilly's killing series),bill o'reilly,4.7,9342,10,2011,non fiction
killing lincoln: the shocking assassination that changed america forever (bill o'reilly's killing series),bill o'reilly,4.7,9342,10,2012,non fiction
killing patton: the strange death of world war ii's most audacious general (bill o'reilly's killing series),bill o'reilly,4.6,10927,6,2014,non fiction
killing reagan: the violent assault that changed a presidency (bill o'reilly's killing series),bill o'reilly,4.6,5235,5,2015,non fiction
killing the rising sun: how america vanquished world war ii japan (bill o'reilly's killing series),bill o'reilly,4.8,8916,6,2016,non fiction
kitchen confidential updated edition: adventures in the culinary underbelly (p.s.),anthony bourdain,4.8,2507,8,2018,non fiction
knock-knock jokes for kids,rob elliott,4.5,3673,4,2013,non fiction
knock-knock jokes for kids,rob elliott,4.5,3673,4,2014,non fiction
knock-knock jokes for kids,rob elliott,4.5,3673,4,2015,non fiction
"last week tonight with john oliver presents a day in the life of marlon bundo (better bundo book, lgbt childrens book)",jill twiss,4.9,11881,13,2018,fiction
laugh-out-loud jokes for kids,rob elliott,4.6,6990,4,2013,non fiction
laugh-out-loud jokes for kids,rob elliott,4.6,6990,4,2014,non fiction
laugh-out-loud jokes for kids,rob elliott,4.6,6990,4,2015,non fiction
laugh-out-loud jokes for kids,rob elliott,4.6,6990,4,2016,non fiction
laugh-out-loud jokes for kids,rob elliott,4.6,6990,4,2017,non fiction
"lean in: women, work, and the will to lead",sheryl sandberg,4.5,6132,13,2013,non fiction
leonardo da vinci,walter isaacson,4.5,3014,21,2017,non fiction
lettering and modern calligraphy: a beginner's guide: learn hand lettering and brush lettering,paper peony press,4.4,7550,6,2018,non fiction
liberty and tyranny: a conservative manifesto,mark r. levin,4.8,3828,15,2009,non fiction
life,keith richards,4.5,2752,18,2010,non fiction
little bee: a novel,chris cleave,4.1,1467,10,2010,fiction
little blue truck,alice schertle,4.9,1884,0,2014,fiction
little fires everywhere,celeste ng,4.5,25706,12,2018,fiction
looking for alaska,john green,4.5,8491,7,2014,fiction
"love wins: a book about heaven, hell, and the fate of every person who ever lived",rob bell,4.2,1649,13,2011,non fiction
love you forever,robert munsch,4.8,18613,5,2014,fiction
love you forever,robert munsch,4.8,18613,5,2015,fiction
magnolia table: a collection of recipes for gathering,joanna gaines,4.8,9867,16,2018,non fiction
make it ahead: a barefoot contessa cookbook,ina garten,4.5,1386,20,2014,non fiction
make your bed: little things that can change your life...and maybe the world,admiral william h. mcraven,4.7,10199,11,2017,non fiction
"mastering the art of french cooking, vol. 2",julia child,4.8,2926,27,2009,non fiction
milk and honey,rupi kaur,4.7,17739,8,2016,non fiction
milk and honey,rupi kaur,4.7,17739,8,2017,non fiction
milk and honey,rupi kaur,4.7,17739,8,2018,non fiction
milk and vine: inspirational quotes from classic vines,adam gasiewski,4.4,3113,6,2017,non fiction
mindset: the new psychology of success,carol s. dweck,4.6,5542,10,2014,non fiction
mindset: the new psychology of success,carol s. dweck,4.6,5542,10,2015,non fiction
mindset: the new psychology of success,carol s. dweck,4.6,5542,10,2016,non fiction
mockingjay (the hunger games),suzanne collins,4.5,26741,8,2010,fiction
mockingjay (the hunger games),suzanne collins,4.5,26741,8,2011,fiction
mockingjay (the hunger games),suzanne collins,4.5,26741,8,2012,fiction
"national geographic kids why?: over 1,111 answers to everything",crispin boyer,4.8,5347,16,2019,non fiction
national geographic little kids first big book of why (national geographic little kids first big books),amy shields,4.8,7866,11,2019,non fiction
new moon (the twilight saga),stephenie meyer,4.6,5680,10,2009,fiction
night (night),elie wiesel,4.7,5178,9,2016,non fiction
no easy day: the autobiography of a navy seal: the firsthand account of the mission that killed osama bin laden,mark owen,4.6,8093,14,2012,non fiction
obama: an intimate portrait,pete souza,4.9,3192,22,2017,non fiction
"oh, the places you'll go!",dr. seuss,4.9,21834,8,2012,fiction
"oh, the places you'll go!",dr. seuss,4.9,21834,8,2013,fiction
"oh, the places you'll go!",dr. seuss,4.9,21834,8,2014,fiction
"oh, the places you'll go!",dr. seuss,4.9,21834,8,2015,fiction
"oh, the places you'll go!",dr. seuss,4.9,21834,8,2016,fiction
"oh, the places you'll go!",dr. seuss,4.9,21834,8,2017,fiction
"oh, the places you'll go!",dr. seuss,4.9,21834,8,2018,fiction
"oh, the places you'll go!",dr. seuss,4.9,21834,8,2019,fiction
old school (diary of a wimpy kid #10),jeff kinney,4.8,6169,7,2015,fiction
olive kitteridge,elizabeth strout,4.2,4519,12,2009,fiction
one thousand gifts: a dare to live fully right where you are,ann voskamp,4.6,3163,13,2011,non fiction
one thousand gifts: a dare to live fully right where you are,ann voskamp,4.6,3163,13,2012,non fiction
"option b: facing adversity, building resilience, and finding joy",sheryl sandberg,4.5,1831,9,2017,non fiction
origin: a novel (robert langdon),dan brown,4.3,18904,13,2017,fiction
orphan train,christina baker kline,4.6,21930,11,2014,fiction
outliers: the story of success,malcolm gladwell,4.6,10426,20,2009,non fiction
outliers: the story of success,malcolm gladwell,4.6,10426,20,2010,non fiction
p is for potty! (sesame street) (lift-the-flap),naomi kleinberg,4.7,10820,5,2018,non fiction
p is for potty! (sesame street) (lift-the-flap),naomi kleinberg,4.7,10820,5,2019,non fiction
percy jackson and the olympians paperback boxed set (books 1-3),rick riordan,4.8,548,2,2010,fiction
player's handbook (dungeons & dragons),wizards rpg team,4.8,16990,27,2017,fiction
player's handbook (dungeons & dragons),wizards rpg team,4.8,16990,27,2018,fiction
player's handbook (dungeons & dragons),wizards rpg team,4.8,16990,27,2019,fiction
pokémon deluxe essential handbook: the need-to-know stats and facts on over 700 pokémon,scholastic,4.7,3503,9,2016,fiction
proof of heaven: a neurosurgeon's journey into the afterlife,eben alexander,4.3,13616,10,2012,non fiction
proof of heaven: a neurosurgeon's journey into the afterlife,eben alexander,4.3,13616,10,2013,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2009,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2010,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2011,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2012,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2013,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2014,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2015,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2016,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2017,non fiction
"publication manual of the american psychological association, 6th edition",american psychological association,4.5,8580,46,2018,non fiction
puppy birthday to you! (paw patrol) (little golden book),golden books,4.8,4757,4,2017,fiction
quiet: the power of introverts in a world that can't stop talking,susan cain,4.6,10009,20,2012,non fiction
quiet: the power of introverts in a world that can't stop talking,susan cain,4.6,10009,7,2013,non fiction
radical: taking back your faith from the american dream,david platt,4.7,1985,9,2010,non fiction
radical: taking back your faith from the american dream,david platt,4.7,1985,9,2011,non fiction
ready player one: a novel,ernest cline,4.6,22536,12,2017,fiction
ready player one: a novel,ernest cline,4.6,22536,12,2018,fiction
rush revere and the brave pilgrims: time-travel adventures with exceptional americans (1),rush limbaugh,4.9,7150,12,2013,fiction
rush revere and the first patriots: time-travel adventures with exceptional americans (2),rush limbaugh,4.9,3836,12,2014,fiction
"salt, fat, acid, heat: mastering the elements of good cooking",samin nosrat,4.8,7802,20,2018,non fiction
"salt, fat, acid, heat: mastering the elements of good cooking",samin nosrat,4.8,7802,20,2019,non fiction
sarah's key,tatiana de rosnay,4.6,3619,10,2010,fiction
"school zone - big preschool workbook - ages 4 and up, colors, shapes, numbers 1-10, alphabet, pre-writing, pre-reading…",school zone,4.8,23047,6,2018,non fiction
"school zone - big preschool workbook - ages 4 and up, colors, shapes, numbers 1-10, alphabet, pre-writing, pre-reading…",school zone,4.8,23047,6,2019,non fiction
"secret garden: an inky treasure hunt and coloring book (for adults, mindfulness coloring)",johanna basford,4.7,9366,9,2015,non fiction
sh*t my dad says,justin halpern,4.7,1265,11,2010,non fiction
ship of fools: how a selfish ruling class is bringing america to the brink of revolution,tucker carlson,4.8,3923,16,2018,non fiction
shred: the revolutionary diet: 6 weeks 4 inches 2 sizes,ian k. smith m.d.,4.1,2272,6,2013,non fiction
sookie stackhouse,charlaine harris,4.7,973,25,2009,fiction
"soul healing miracles: ancient and new sacred wisdom, knowledge, and practical techniques for healing the spiritual…",zhi gang sha,4.6,220,17,2013,non fiction
steve jobs,walter isaacson,4.6,7827,20,2011,non fiction
steve jobs,walter isaacson,4.6,7827,20,2012,non fiction
strange planet (strange planet series),nathan w. pyle,4.9,9382,6,2019,fiction
strengthsfinder 2.0,gallup,4.0,5069,17,2009,non fiction
strengthsfinder 2.0,gallup,4.0,5069,17,2010,non fiction
strengthsfinder 2.0,gallup,4.0,5069,17,2011,non fiction
strengthsfinder 2.0,gallup,4.0,5069,17,2012,non fiction
strengthsfinder 2.0,gallup,4.0,5069,17,2013,non fiction
strengthsfinder 2.0,gallup,4.0,5069,17,2014,non fiction
strengthsfinder 2.0,gallup,4.0,5069,17,2015,non fiction
strengthsfinder 2.0,gallup,4.0,5069,17,2016,non fiction
strengthsfinder 2.0,gallup,4.0,5069,17,2017,non fiction
"super freakonomics: global cooling, patriotic prostitutes, and why suicide bombers should buy life insurance",steven d. levitt,4.5,1583,18,2009,non fiction
switch: how to change things when change is hard,chip heath,4.6,1907,13,2010,non fiction
sycamore row (jake brigance),john grisham,4.5,23114,18,2013,fiction
teach like a champion: 49 techniques that put students on the path to college,doug lemov,4.4,637,20,2010,non fiction
teach like a champion: 49 techniques that put students on the path to college,doug lemov,4.4,637,20,2011,non fiction
the 17 day diet: a doctor's plan designed for rapid results,mike moreno,4.3,2314,22,2011,non fiction
"the 4 hour body: an uncommon guide to rapid fat loss, incredible sex and becoming superhuman",timothy ferriss,4.3,4587,21,2011,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.7,3477,28,2010,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.7,3477,28,2011,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.7,3477,28,2012,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.7,3477,28,2013,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.7,3477,28,2014,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.8,25554,8,2015,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.8,25554,8,2016,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.8,25554,8,2017,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.8,25554,8,2018,non fiction
the 5 love languages: the secret to love that lasts,gary chapman,4.8,25554,8,2019,non fiction
the 5000 year leap,w. cleon skousen,4.8,1680,12,2009,non fiction
the 7 habits of highly effective people: powerful lessons in personal change,stephen r. covey,4.6,9325,24,2009,non fiction
the 7 habits of highly effective people: powerful lessons in personal change,stephen r. covey,4.6,9325,24,2011,non fiction
the 7 habits of highly effective people: powerful lessons in personal change,stephen r. covey,4.6,9325,24,2012,non fiction
